# PM780 long-throw L1
# r_mm, sag_um
0.112900, -1.0796
0.113061, -1.0827
0.113223, -1.0858
0.113384, -1.0889
0.113546, -1.0920
0.113707, -1.0950
0.113869, -1.0982
0.114030, -1.1013
0.114192, -1.1044
0.114353, -1.1075
0.114515, -1.1106
0.114676, -1.1137
0.114838, -1.1169
0.114999, -1.1200
0.115161, -1.1231
0.115323, -1.1263
0.115484, -1.1294
0.115646, -1.1326
0.115807, -1.1357
0.115969, -1.1389
0.116130, -1.1421
0.116292, -1.1452
0.116453, -1.1484
0.116615, -1.1516
0.116776, -1.1548
0.116938, -1.1579
0.117099, -1.1611
0.117261, -1.1643
0.117422, -1.1675
0.117584, -1.1707
0.117745, -1.1739
0.117907, -1.1771
0.118068, -1.1804
0.118230, -1.1836
0.118391, -1.1868
0.118553, -1.1900
0.118714, -1.1933
0.118876, -1.1965
0.119037, -1.1997
0.119199, -1.2030
0.119360, -1.2062
0.119522, -1.2095
0.119683, -1.2128
0.119845, -1.2160
0.120007, -1.2193
0.120168, -1.2226
0.120330, -1.2258
0.120491, -1.2291
0.120653, -1.2324
0.120814, -1.2357
0.120976, -1.2390
0.121137, -1.2423
0.121299, -1.2456
0.121460, -1.2489
0.121622, -1.2522
0.121783, -1.2555
0.121945, -1.2588
0.122106, -1.2622
0.122268, -1.2655
0.122429, -1.2688
0.122591, -1.2722
0.122752, -1.2755
0.122914, -1.2789
0.123075, -1.2822
0.123237, -1.2856
0.123398, -1.2889
0.123560, -1.2923
0.123721, -1.2957
0.123883, -1.2990
0.124044, -1.3024
0.124206, -1.3058
0.124367, -1.3092
0.124529, -1.3126
0.124690, -1.3159
0.124852, -1.3193
0.125014, -1.3228
0.125175, -1.3262
0.125337, -1.3296
0.125498, -1.3330
0.125660, -1.3364
0.125821, -1.3398
0.125983, -1.3433
0.126144, -1.3467
0.126306, -1.3501
0.126467, -1.3536
0.126629, -1.3570
0.126790, -1.3605
0.126952, -1.3639
0.127113, -1.3674
0.127275, -1.3708
0.127436, -1.3743
0.127598, -1.3778
0.127759, -1.3813
0.127921, -1.3847
0.128082, -1.3882
0.128244, -1.3917
0.128405, -1.3952
0.128567, -1.3987
0.128728, -1.4022
0.128890, -1.4057
0.129051, -1.4092
0.129213, -1.4127
0.129374, -1.4163
0.129536, -1.4198
0.129697, -1.4233
0.129859, -1.4268
0.130021, -1.4304
0.130182, -1.4339
0.130344, -1.4375
0.130505, -1.4410
0.130667, -1.4446
0.130828, -1.4481
0.130990, -1.4517
0.131151, -1.4553
0.131313, -1.4588
0.131474, -1.4624
0.131636, -1.4660
0.131797, -1.4696
0.131959, -1.4732
0.132120, -1.4767
0.132282, -1.4803
0.132443, -1.4839
0.132605, -1.4876
0.132766, -1.4912
0.132928, -1.4948
0.133089, -1.4984
0.133251, -1.5020
0.133412, -1.5056
0.133574, -1.5093
0.133735, -1.5129
0.133897, -1.5166
0.134058, -1.5202
0.134220, -1.5238
0.134381, -1.5275
0.134543, -1.5312
0.134704, -1.5348
0.134866, -1.5385
0.135028, -1.5422
0.135189, -1.5458
0.135351, -1.5495
0.135512, -1.5532
0.135674, -1.5569
0.135835, -1.5606
0.135997, -1.5643
0.136158, -1.5680
0.136320, -1.5717
0.136481, -1.5754
0.136643, -1.5791
0.136804, -1.5828
0.136966, -1.5865
0.137127, -1.5903
0.137289, -1.5940
0.137450, -1.5977
0.137612, -1.6015
0.137773, -1.6052
0.137935, -1.6090
0.138096, -1.6127
0.138258, -1.6165
0.138419, -1.6202
0.138581, -1.6240
0.138742, -1.6278
0.138904, -1.6316
0.139065, -1.6353
0.139227, -1.6391
0.139388, -1.6429
0.139550, -1.6467
0.139711, -1.6505
0.139873, -1.6543
0.140035, -1.6581
0.140196, -1.6619
0.140358, -1.6657
0.140519, -1.6695
0.140681, -1.6734
0.140842, -1.6772
0.141004, -1.6810
0.141165, -1.6848
0.141327, -1.6887
0.141488, -1.6925
0.141650, -1.6964
0.141811, -1.7002
0.141973, -1.7041
0.142134, -1.7079
0.142296, -1.7118
0.142457, -1.7157
0.142619, -1.7195
0.142780, -1.7234
0.142942, -1.7273
0.143103, -1.7312
0.143265, -1.7351
0.143426, -1.7390
0.143588, -1.7429
0.143749, -1.7468
0.143911, -1.7507
0.144072, -1.7546
0.144234, -1.7585
0.144395, -1.7624
0.144557, -1.7664
0.144718, -1.7703
0.144880, -1.7742
0.145042, -1.7782
0.145203, -1.7821
0.145365, -1.7860
0.145526, -1.7900
0.145688, -1.7940
0.145849, -1.7979
0.146011, -1.8019
0.146172, -1.8058
0.146334, -1.8098
0.146495, -1.8138
0.146657, -1.8178
0.146818, -1.8218
0.146980, -1.8257
0.147141, -1.8297
0.147303, -1.8337
0.147464, -1.8377
0.147626, -1.8417
0.147787, -1.8458
0.147949, -1.8498
0.148110, -1.8538
0.148272, -1.8578
0.148433, -1.8618
0.148595, -1.8659
0.148756, -1.8699
0.148918, -1.8740
0.149079, -1.8780
0.149241, -1.8821
0.149402, -1.8861
0.149564, -1.8902
0.149725, -1.8942
0.149887, -1.8983
0.150049, -1.9024
0.150210, -1.9064
0.150372, -1.9105
0.150533, -1.9146
0.150695, -1.9187
0.150856, -1.9228
0.151018, -1.9269
0.151179, -1.9310
0.151341, -1.9351
0.151502, -1.9392
0.151664, -1.9433
0.151825, -1.9474
0.151987, -1.9515
0.152148, -1.9557
0.152310, -1.9598
0.152471, -1.9639
0.152633, -1.9681
0.152794, -1.9722
0.152956, -1.9764
0.153117, -1.9805
0.153279, -1.9847
0.153440, -1.9888
0.153602, -1.9930
0.153763, -1.9972
0.153925, -2.0013
0.154086, -2.0055
0.154248, -2.0097
0.154409, -2.0139
0.154571, -2.0181
0.154732, -2.0223
0.154894, -2.0265
0.155056, -2.0307
0.155217, -2.0349
0.155379, -2.0391
0.155540, -2.0433
0.155702, -2.0475
0.155863, -2.0518
0.156025, -2.0560
0.156186, -2.0602
0.156348, -2.0645
0.156509, -2.0687
0.156671, -2.0730
0.156832, -2.0772
0.156994, -2.0815
0.157155, -2.0857
0.157317, -2.0900
0.157478, -2.0943
0.157640, -2.0985
0.157801, -2.1028
0.157963, -2.1071
